CODE	GENES	LNZ308.DMSO	LNZ308.AZD6738	LN229.DMSO	LN229.AZD6738
ENOPH1_46537	ENOPH1	795	1049	725	769
EPB42_5636	EPB42	204	349	312	309
ACBD4_49910	ACBD4	965	786	1151	1479
DNAJC6_26114	DNAJC6	532	558	544	595
PNMAL2_45546	PNMAL2	855	1015	625	792
RAB33B_52133	RAB33B	661	928	408	584
RAB32_29749	RAB32	379	436	242	263
ANKRD28_32203	ANKRD28	318	389	253	500
ZHX3_31585	ZHX3	356	397	355	389
C5orf64_68250	C5orf64	622	826	586	749
TENM3_43121	TENM3	1751	1787	1632	2190
PRPH2_15972	PRPH2	571	664	442	575
SH2D6_68004	SH2D6	797	802	719	847
CHPF2_40042	CHPF2	1520	1410	1210	1446
CPLX1_29258	CPLX1	1597	1669	1428	1627
SMARCA1_17739	SMARCA1	943	990	802	837
TM2D3_50929	TM2D3	921	1067	1134	1209
RAB11FIP3_25759	RAB11FIP3	808	872	667	805
CMTM2_61552	CMTM2	932	851	1100	1261
DPYS_5012	DPYS	577	620	530	594
RIT1_16160	RIT1	836	747	749	950
SLC35F3_62055	SLC35F3	1034	1093	1024	1065
CARD17_72859	CARD17	564	559	450	636
RPRD1A_41894	RPRD1A	1135	1050	941	1099
STRIP1_54849	STRIP1	695	594	613	792
OR11A1_35144	OR11A1	781	906	787	937
PCNT_13440	PCNT	1029	1246	1465	1383
FAM83B_66023	FAM83B	440	592	704	609
AKAP17A_21444	AKAP17A	1156	1262	1145	1322
STARD4_60264	STARD4	962	1165	1046	1128
AHNAK_48749	AHNAK	861	647	966	929
MPZL2_27346	MPZL2	778	606	629	776
NSUN6_65683	NSUN6	1380	1523	1327	1523
WFDC9_66962	WFDC9	1073	1035	795	778
DECR2_34496	DECR2	1051	963	1047	953
REG4_52760	REG4	1296	986	1188	1306
WDHD1_30354	WDHD1	98	41	400	566
RNF181_38260	RNF181	454	586	492	764
MYOT_25019	MYOT	1084	1167	919	1060
XPNPEP3_47166	XPNPEP3	606	675	776	898
SNRPF_17900	SNRPF	17	8	585	494
SLC31A1_3686	SLC31A1	844	1470	1461	1700
XIRP2_59692	XIRP2	669	818	732	852
BBIP1_56255	BBIP1	785	801	767	639
PSMC4_15227	PSMC4	61	71	271	306
SHBG_17304	SHBG	484	479	565	524
MCAT_36106	MCAT	230	327	799	877
AADACL2_69623	AADACL2	450	571	370	374
HHLA3_30269	HHLA3	513	381	761	585
BPY2C_73292	BPY2C	1485	1648	1374	1652
P3H2_41956	P3H2	589	534	457	530
FREM1_63149	FREM1	326	320	230	257
